DISTRICT,HISP,NH_WHITE,NH_BLACK,NH_ASIAN
0,38702.99996199654,47007.00001911212,176475.00012891996,675.9999977541274
1,124944.67563842113,63295.296843006356,77960.0000578035,5494.229015997339
2,51568.00008082922,129805.00014766768,42868.99997474247,38347.99999368549
3,74174.32447723176,164909.70321200238,5779.999978515516,22886.77101126087
4,26737.99977532005,23807.000027618575,215261.9999354204,6184.000044066593
5,200778.99976638556,21631.99981034207,53487.00053287469,3713.9999938211754
6,88527.0001299071,68345.00007579022,88160.99920168021,7553.000019776934
7,59810.99987331281,189681.99975590743,10426.000184654109,14670.999975298251
8,52736.999601489275,126162.99981778681,32668.000153362285,45662.999942721355
9,66347.00069510654,41164.000290766366,173956.9998520269,1079.0000056178687
