DISTRICT,HISP,NH_WHITE,NH_BLACK,NH_ASIAN,NH_OTHER
0,149148.6757949943,83495.29705109024,33703.00018229625,7167.229027332997,3299.3160862552563
1,7683.000001945114,39757.00000933636,233261.99993386777,571.9999993411441,3544.0000023715884
2,161234.99781112417,17854.996396294096,69223.99996334649,6696.000017261801,1661.0000004430435
3,50942.99996969033,136984.99993788786,43270.99999077569,31976.99993464251,8116.999991912531
4,24436.1894515684,128963.00043633115,73362.35250737214,41462.00000584441,5729.892100964228
5,136596.9998424763,52352.99999121113,88351.00018837441,1746.9999987830345,2204.0000037845502
6,79279.32417480723,161315.702931974,6966.999986091918,30575.77101611469,6577.683945391429
7,39420.81050761903,27321.000017251205,180742.64748114627,4999.000015373964,4646.107891074903
8,74295.00015811123,152672.99936764696,14023.000041636355,10681.99998462439,5037.000000274682
9,61291.00228766386,75092.00386097703,134138.99972509267,10391.000000681059,4521.999977527788
